compartment,outflow_to,tis_percentage,compartment_duration,total_population
prison,probation,50%,84,0.09656652
prison,probation,50%,96,0.11587983
prison,probation,50%,108,0.19527897
prison,probation,50%,120,0.21888412
prison,probation,50%,132,0.11587983
prison,probation,50%,144,0.05150215
prison,probation,50%,156,0.03862661
prison,probation,50%,168,0.03862661
prison,probation,50%,180,0.02360515
prison,probation,50%,192,0.02145923
prison,probation,50%,204,0.00858369
prison,probation,50%,216,0.00858369
prison,probation,50%,228,0.00643777
prison,probation,50%,240,0.00643777
prison,probation,50%,252,0.00214592
prison,probation,50%,264,0.00214592
prison,probation,50%,276,0.00643777
prison,probation,50%,288,0.00429185
prison,probation,50%,300,0
prison,probation,50%,312,0.00214592
prison,probation,50%,324,0.00858369
prison,probation,50%,336,0.00214592
prison,probation,50%,348,0.00214592
prison,probation,50%,360,0
prison,probation,50%,372,0.00429185
prison,probation,50%,384,0
prison,probation,50%,396,0.00214592
prison,probation,50%,408,0.00214592
prison,probation,50%,420,0
prison,probation,50%,432,0
prison,probation,50%,444,0
prison,probation,50%,456,0
prison,probation,50%,468,0
prison,probation,50%,480,0
prison,probation,50%,492,0
prison,probation,50%,504,0
prison,probation,50%,516,0.00214592
prison,probation,50%,528,0
prison,probation,50%,540,0
prison,probation,50%,552,0
prison,probation,50%,564,0
prison,probation,50%,576,0
prison,probation,50%,588,0
prison,probation,50%,600,0
prison,probation,50%,612,0
prison,probation,50%,624,0
prison,probation,50%,636,0
prison,probation,50%,648,0
prison,probation,50%,660,0.00214592
prison,probation,50%,672,0
prison,probation,50%,684,0
prison,probation,50%,696,0
prison,probation,50%,708,0.00214592
prison,probation,50%,720,0.00214592
prison,probation,50%,732,0
prison,probation,50%,744,0
prison,probation,50%,756,0
prison,probation,50%,768,0
prison,probation,50%,780,0
prison,probation,50%,792,0
prison,probation,50%,804,0
prison,probation,50%,816,0
prison,probation,50%,828,0
prison,probation,50%,840,0
prison,probation,50%,852,0
prison,probation,50%,864,0
prison,probation,50%,876,0
prison,probation,50%,888,0.00214592
prison,probation,50%,900,0
prison,probation,50%,912,0
prison,probation,50%,924,0.00429185
prison,probation,50%,936,0
prison,probation,50%,948,0
prison,probation,50%,960,0
prison,probation,85%,84,0.00705467
prison,probation,85%,96,0.01058201
prison,probation,85%,108,0.02645503
prison,probation,85%,120,0.03703704
prison,probation,85%,132,0.07407407
prison,probation,85%,144,0.09171076
prison,probation,85%,156,0.0670194
prison,probation,85%,168,0.05114638
prison,probation,85%,180,0.05820106
prison,probation,85%,192,0.04409171
prison,probation,85%,204,0.03527337
prison,probation,85%,216,0.04761905
prison,probation,85%,228,0.02469136
prison,probation,85%,240,0.03174603
prison,probation,85%,252,0.02469136
prison,probation,85%,264,0.01940035
prison,probation,85%,276,0.02645503
prison,probation,85%,288,0.02998236
prison,probation,85%,300,0.03703704
prison,probation,85%,312,0.01940035
prison,probation,85%,324,0.01587302
prison,probation,85%,336,0.01410935
prison,probation,85%,348,0.01587302
prison,probation,85%,360,0.01058201
prison,probation,85%,372,0.01234568
prison,probation,85%,384,0.01234568
prison,probation,85%,396,0.01410935
prison,probation,85%,408,0.00881834
prison,probation,85%,420,0.00881834
prison,probation,85%,432,0.00529101
prison,probation,85%,444,0.01234568
prison,probation,85%,456,0.00881834
prison,probation,85%,468,0.00352734
prison,probation,85%,480,0.00705467
prison,probation,85%,492,0.00352734
prison,probation,85%,504,0.00705467
prison,probation,85%,516,0.00529101
prison,probation,85%,528,0.00176367
prison,probation,85%,540,0.00705467
prison,probation,85%,552,0.00176367
prison,probation,85%,564,0.00705467
prison,probation,85%,576,0.00352734
prison,probation,85%,588,0.00529101
prison,probation,85%,600,0.00176367
prison,probation,85%,612,0.00176367
prison,probation,85%,624,0.00352734
prison,probation,85%,636,0.00176367
prison,probation,85%,648,0.00529101
prison,probation,85%,660,0.00176367
prison,probation,85%,672,0.00529101
prison,probation,85%,684,0.00176367
prison,probation,85%,696,0
prison,probation,85%,708,0
prison,probation,85%,720,0.00176367
prison,probation,85%,732,0.00176367
prison,probation,85%,744,0
prison,probation,85%,756,0
prison,probation,85%,768,0
prison,probation,85%,780,0
prison,probation,85%,792,0.00176367
prison,probation,85%,804,0.00352734
prison,probation,85%,816,0.00176367
prison,probation,85%,828,0
prison,probation,85%,840,0
prison,probation,85%,852,0.00352734
prison,probation,85%,864,0.00176367
prison,probation,85%,876,0
prison,probation,85%,888,0
prison,probation,85%,900,0
prison,probation,85%,912,0.00176367
prison,probation,85%,924,0.00176367
prison,probation,85%,936,0
prison,probation,85%,948,0
prison,probation,85%,960,0.00176367
prison,probation,100%,84,0
prison,probation,100%,96,0.00102775
prison,probation,100%,108,0
prison,probation,100%,120,0.00308325
prison,probation,100%,132,0.00308325
prison,probation,100%,144,0.00513875
prison,probation,100%,156,0.0061665
prison,probation,100%,168,0.00822199
prison,probation,100%,180,0.01438849
prison,probation,100%,192,0.01541624
prison,probation,100%,204,0.02055498
prison,probation,100%,216,0.02672148
prison,probation,100%,228,0.02363823
prison,probation,100%,240,0.01849949
prison,probation,100%,252,0.02158273
prison,probation,100%,264,0.01952724
prison,probation,100%,276,0.02980473
prison,probation,100%,288,0.02055498
prison,probation,100%,300,0.02363823
prison,probation,100%,312,0.03083248
prison,probation,100%,324,0.02877698
prison,probation,100%,336,0.02569373
prison,probation,100%,348,0.01644399
prison,probation,100%,360,0.01952724
prison,probation,100%,372,0.01541624
prison,probation,100%,384,0.01438849
prison,probation,100%,396,0.01336074
prison,probation,100%,408,0.01644399
prison,probation,100%,420,0.01849949
prison,probation,100%,432,0.01541624
prison,probation,100%,444,0.02363823
prison,probation,100%,456,0.01849949
prison,probation,100%,468,0.01541624
prison,probation,100%,480,0.01747174
prison,probation,100%,492,0.01027749
prison,probation,100%,504,0.01541624
prison,probation,100%,516,0.01952724
prison,probation,100%,528,0.02672148
prison,probation,100%,540,0.01644399
prison,probation,100%,552,0.01849949
prison,probation,100%,564,0.01952724
prison,probation,100%,576,0.02363823
prison,probation,100%,588,0.01336074
prison,probation,100%,600,0.01336074
prison,probation,100%,612,0.01336074
prison,probation,100%,624,0.02055498
prison,probation,100%,636,0.01541624
prison,probation,100%,648,0.01541624
prison,probation,100%,660,0.01233299
prison,probation,100%,672,0.01541624
prison,probation,100%,684,0.01747174
prison,probation,100%,696,0.01952724
prison,probation,100%,708,0.01233299
prison,probation,100%,720,0.01027749
prison,probation,100%,732,0.01027749
prison,probation,100%,744,0.00719424
prison,probation,100%,756,0.00719424
prison,probation,100%,768,0.01130524
prison,probation,100%,780,0.0061665
prison,probation,100%,792,0.00719424
prison,probation,100%,804,0.00719424
prison,probation,100%,816,0.00513875
prison,probation,100%,828,0.0061665
prison,probation,100%,840,0.0020555
prison,probation,100%,852,0.00719424
prison,probation,100%,864,0.00513875
prison,probation,100%,876,0.00719424
prison,probation,100%,888,0.00513875
prison,probation,100%,900,0.00513875
prison,probation,100%,912,0.004111
prison,probation,100%,924,0.0061665
prison,probation,100%,936,0.00513875
prison,probation,100%,948,0.00308325
prison,probation,100%,960,0.0020555