compartment,outflow_to,tis_percentage,race,compartment_duration,total_population
prison,probation,100%,white,0,0
prison,probation,100%,white,12,0
prison,probation,100%,white,24,0
prison,probation,100%,white,36,0.003278689
prison,probation,100%,white,48,0
prison,probation,100%,white,60,0
prison,probation,100%,white,72,0
prison,probation,100%,white,84,0
prison,probation,100%,white,96,0
prison,probation,100%,white,108,0
prison,probation,100%,white,120,0.003278689
prison,probation,100%,white,132,0.003278689
prison,probation,100%,white,144,0
prison,probation,100%,white,156,0.003278689
prison,probation,100%,white,168,0
prison,probation,100%,white,180,0.006557377
prison,probation,100%,white,192,0.009836066
prison,probation,100%,white,204,0.019672131
prison,probation,100%,white,216,0.019672131
prison,probation,100%,white,228,0.032786885
prison,probation,100%,white,240,0.016393443
prison,probation,100%,white,252,0.02295082
prison,probation,100%,white,264,0.009836066
prison,probation,100%,white,276,0.029508197
prison,probation,100%,white,288,0.026229508
prison,probation,100%,white,300,0.032786885
prison,probation,100%,white,312,0.026229508
prison,probation,100%,white,324,0.052459016
prison,probation,100%,white,336,0.016393443
prison,probation,100%,white,348,0.036065574
prison,probation,100%,white,360,0.026229508
prison,probation,100%,white,372,0.019672131
prison,probation,100%,white,384,0.013114754
prison,probation,100%,white,396,0.019672131
prison,probation,100%,white,408,0.019672131
prison,probation,100%,white,420,0.02295082
prison,probation,100%,white,432,0.029508197
prison,probation,100%,white,444,0.026229508
prison,probation,100%,white,456,0.013114754
prison,probation,100%,white,468,0.019672131
prison,probation,100%,white,480,0.016393443
prison,probation,100%,white,492,0.006557377
prison,probation,100%,white,504,0.02295082
prison,probation,100%,white,516,0.013114754
prison,probation,100%,white,528,0.036065574
prison,probation,100%,white,540,0.013114754
prison,probation,100%,white,552,0.013114754
prison,probation,100%,white,564,0.029508197
prison,probation,100%,white,576,0.026229508
prison,probation,100%,white,588,0.016393443
prison,probation,100%,white,600,0.013114754
prison,probation,100%,white,612,0.009836066
prison,probation,100%,white,624,0.019672131
prison,probation,100%,white,636,0.006557377
prison,probation,100%,white,648,0.016393443
prison,probation,100%,white,660,0.009836066
prison,probation,100%,white,672,0.016393443
prison,probation,100%,white,684,0.006557377
prison,probation,100%,white,696,0.016393443
prison,probation,100%,white,708,0.013114754
prison,probation,100%,white,720,0.003278689
prison,probation,100%,white,732,0.009836066
prison,probation,100%,white,744,0.003278689
prison,probation,100%,white,756,0.006557377
prison,probation,100%,white,768,0.006557377
prison,probation,100%,white,780,0.003278689
prison,probation,100%,white,792,0.003278689
prison,probation,100%,white,804,0.003278689
prison,probation,100%,white,816,0.013114754
prison,probation,100%,white,828,0.006557377
prison,probation,100%,white,840,0.003278689
prison,probation,100%,white,852,0.006557377
prison,probation,100%,white,864,0.003278689
prison,probation,100%,white,876,0
prison,probation,100%,white,888,0.006557377
prison,probation,100%,white,900,0
prison,probation,100%,white,912,0
prison,probation,100%,white,924,0.003278689
prison,probation,100%,white,936,0.009836066
prison,probation,100%,white,948,0.003278689
prison,probation,100%,white,960,0.003278689
prison,probation,100%,non-white,0,0
prison,probation,100%,non-white,12,0.000735835
prison,probation,100%,non-white,24,0
prison,probation,100%,non-white,36,0.00147167
prison,probation,100%,non-white,48,0.000735835
prison,probation,100%,non-white,60,0.000735835
prison,probation,100%,non-white,72,0.000735835
prison,probation,100%,non-white,84,0
prison,probation,100%,non-white,96,0.002943341
prison,probation,100%,non-white,108,0
prison,probation,100%,non-white,120,0.002207506
prison,probation,100%,non-white,132,0.002207506
prison,probation,100%,non-white,144,0.004415011
prison,probation,100%,non-white,156,0.004415011
prison,probation,100%,non-white,168,0.006622517
prison,probation,100%,non-white,180,0.014716703
prison,probation,100%,non-white,192,0.015452539
prison,probation,100%,non-white,204,0.019131714
prison,probation,100%,non-white,216,0.030905077
prison,probation,100%,non-white,228,0.023546726
prison,probation,100%,non-white,240,0.020603385
prison,probation,100%,non-white,252,0.023546726
prison,probation,100%,non-white,264,0.02281089
prison,probation,100%,non-white,276,0.030169242
prison,probation,100%,non-white,288,0.024282561
prison,probation,100%,non-white,300,0.020603385
prison,probation,100%,non-white,312,0.027225901
prison,probation,100%,non-white,324,0.025018396
prison,probation,100%,non-white,336,0.027225901
prison,probation,100%,non-white,348,0.016924209
prison,probation,100%,non-white,360,0.018395879
prison,probation,100%,non-white,372,0.015452539
prison,probation,100%,non-white,384,0.014716703
prison,probation,100%,non-white,396,0.02281089
prison,probation,100%,non-white,408,0.015452539
prison,probation,100%,non-white,420,0.016188374
prison,probation,100%,non-white,432,0.014716703
prison,probation,100%,non-white,444,0.022075055
prison,probation,100%,non-white,456,0.019131714
prison,probation,100%,non-white,468,0.014716703
prison,probation,100%,non-white,480,0.015452539
prison,probation,100%,non-white,492,0.013980868
prison,probation,100%,non-white,504,0.016188374
prison,probation,100%,non-white,516,0.022075055
prison,probation,100%,non-white,528,0.024282561
prison,probation,100%,non-white,540,0.013980868
prison,probation,100%,non-white,552,0.016188374
prison,probation,100%,non-white,564,0.019131714
prison,probation,100%,non-white,576,0.01986755
prison,probation,100%,non-white,588,0.011773363
prison,probation,100%,non-white,600,0.013245033
prison,probation,100%,non-white,612,0.014716703
prison,probation,100%,non-white,624,0.016924209
prison,probation,100%,non-white,636,0.020603385
prison,probation,100%,non-white,648,0.014716703
prison,probation,100%,non-white,660,0.012509198
prison,probation,100%,non-white,672,0.017660044
prison,probation,100%,non-white,684,0.018395879
prison,probation,100%,non-white,696,0.022075055
prison,probation,100%,non-white,708,0.011037528
prison,probation,100%,non-white,720,0.007358352
prison,probation,100%,non-white,732,0.009565857
prison,probation,100%,non-white,744,0.007358352
prison,probation,100%,non-white,756,0.006622517
prison,probation,100%,non-white,768,0.009565857
prison,probation,100%,non-white,780,0.006622517
prison,probation,100%,non-white,792,0.005886681
prison,probation,100%,non-white,804,0.007358352
prison,probation,100%,non-white,816,0.003679176
prison,probation,100%,non-white,828,0.008094187
prison,probation,100%,non-white,840,0.002943341
prison,probation,100%,non-white,852,0.008094187
prison,probation,100%,non-white,864,0.002943341
prison,probation,100%,non-white,876,0.005886681
prison,probation,100%,non-white,888,0.005886681
prison,probation,100%,non-white,900,0.005886681
prison,probation,100%,non-white,912,0.005150846
prison,probation,100%,non-white,924,0.005150846
prison,probation,100%,non-white,936,0.004415011
prison,probation,100%,non-white,948,0.002207506
prison,probation,100%,non-white,960,0.00147167
prison,probation,85%,white,0,0
prison,probation,85%,white,12,0.020231214
prison,probation,85%,white,24,0.121387283
prison,probation,85%,white,36,0.101156069
prison,probation,85%,white,48,0.104046243
prison,probation,85%,white,60,0.089595376
prison,probation,85%,white,72,0.057803468
prison,probation,85%,white,84,0.075144509
prison,probation,85%,white,96,0.052023121
prison,probation,85%,white,108,0.043352601
prison,probation,85%,white,120,0.028901734
prison,probation,85%,white,132,0.028901734
prison,probation,85%,white,144,0.026011561
prison,probation,85%,white,156,0.01734104
prison,probation,85%,white,168,0.028901734
prison,probation,85%,white,180,0.026011561
prison,probation,85%,white,192,0.014450867
prison,probation,85%,white,204,0.014450867
prison,probation,85%,white,216,0.002890173
prison,probation,85%,white,228,0.005780347
prison,probation,85%,white,240,0.020231214
prison,probation,85%,white,252,0.01734104
prison,probation,85%,white,264,0.011560694
prison,probation,85%,white,276,0.002890173
prison,probation,85%,white,288,0.00867052
prison,probation,85%,white,300,0.011560694
prison,probation,85%,white,312,0
prison,probation,85%,white,324,0.00867052
prison,probation,85%,white,336,0
prison,probation,85%,white,348,0.005780347
prison,probation,85%,white,360,0
prison,probation,85%,white,372,0.002890173
prison,probation,85%,white,384,0
prison,probation,85%,white,396,0.002890173
prison,probation,85%,white,408,0
prison,probation,85%,white,420,0
prison,probation,85%,white,432,0.005780347
prison,probation,85%,white,444,0
prison,probation,85%,white,456,0.002890173
prison,probation,85%,white,468,0.002890173
prison,probation,85%,white,480,0
prison,probation,85%,white,492,0.002890173
prison,probation,85%,white,504,0.002890173
prison,probation,85%,white,516,0
prison,probation,85%,white,528,0
prison,probation,85%,white,540,0
prison,probation,85%,white,552,0
prison,probation,85%,white,564,0.002890173
prison,probation,85%,white,576,0
prison,probation,85%,white,588,0.002890173
prison,probation,85%,white,600,0.002890173
prison,probation,85%,white,612,0
prison,probation,85%,white,624,0
prison,probation,85%,white,636,0
prison,probation,85%,white,648,0
prison,probation,85%,white,660,0
prison,probation,85%,white,672,0
prison,probation,85%,white,684,0.002890173
prison,probation,85%,white,696,0
prison,probation,85%,white,708,0
prison,probation,85%,white,720,0
prison,probation,85%,white,732,0.002890173
prison,probation,85%,white,744,0
prison,probation,85%,white,756,0
prison,probation,85%,white,768,0.002890173
prison,probation,85%,white,780,0
prison,probation,85%,white,792,0.002890173
prison,probation,85%,white,804,0.002890173
prison,probation,85%,white,816,0.002890173
prison,probation,85%,white,828,0.002890173
prison,probation,85%,white,840,0
prison,probation,85%,white,852,0
prison,probation,85%,white,864,0.002890173
prison,probation,85%,white,876,0
prison,probation,85%,white,888,0
prison,probation,85%,white,900,0
prison,probation,85%,white,912,0
prison,probation,85%,white,924,0
prison,probation,85%,white,936,0
prison,probation,85%,white,948,0
prison,probation,85%,white,960,0
prison,probation,85%,non-white,0,0
prison,probation,85%,non-white,12,0.021216407
prison,probation,85%,non-white,24,0.079207921
prison,probation,85%,non-white,36,0.1145686
prison,probation,85%,non-white,48,0.12446959
prison,probation,85%,non-white,60,0.113154173
prison,probation,85%,non-white,72,0.080622348
prison,probation,85%,non-white,84,0.091937765
prison,probation,85%,non-white,96,0.04950495
prison,probation,85%,non-white,108,0.050919378
prison,probation,85%,non-white,120,0.032531825
prison,probation,85%,non-white,132,0.032531825
prison,probation,85%,non-white,144,0.024045262
prison,probation,85%,non-white,156,0.01980198
prison,probation,85%,non-white,168,0.018387553
prison,probation,85%,non-white,180,0.021216407
prison,probation,85%,non-white,192,0.018387553
prison,probation,85%,non-white,204,0.004243281
prison,probation,85%,non-white,216,0.007072136
prison,probation,85%,non-white,228,0.016973126
prison,probation,85%,non-white,240,0.008486563
prison,probation,85%,non-white,252,0.005657709
prison,probation,85%,non-white,264,0.00990099
prison,probation,85%,non-white,276,0.004243281
prison,probation,85%,non-white,288,0.001414427
prison,probation,85%,non-white,300,0.004243281
prison,probation,85%,non-white,312,0.001414427
prison,probation,85%,non-white,324,0.002828854
prison,probation,85%,non-white,336,0.002828854
prison,probation,85%,non-white,348,0.002828854
prison,probation,85%,non-white,360,0.002828854
prison,probation,85%,non-white,372,0.001414427
prison,probation,85%,non-white,384,0.001414427
prison,probation,85%,non-white,396,0.001414427
prison,probation,85%,non-white,408,0.001414427
prison,probation,85%,non-white,420,0
prison,probation,85%,non-white,432,0
prison,probation,85%,non-white,444,0.001414427
prison,probation,85%,non-white,456,0.001414427
prison,probation,85%,non-white,468,0.001414427
prison,probation,85%,non-white,480,0.004243281
prison,probation,85%,non-white,492,0.001414427
prison,probation,85%,non-white,504,0
prison,probation,85%,non-white,516,0.001414427
prison,probation,85%,non-white,528,0
prison,probation,85%,non-white,540,0
prison,probation,85%,non-white,552,0
prison,probation,85%,non-white,564,0
prison,probation,85%,non-white,576,0
prison,probation,85%,non-white,588,0.001414427
prison,probation,85%,non-white,600,0
prison,probation,85%,non-white,612,0
prison,probation,85%,non-white,624,0.002828854
prison,probation,85%,non-white,636,0
prison,probation,85%,non-white,648,0
prison,probation,85%,non-white,660,0
prison,probation,85%,non-white,672,0.001414427
prison,probation,85%,non-white,684,0
prison,probation,85%,non-white,696,0.001414427
prison,probation,85%,non-white,708,0.001414427
prison,probation,85%,non-white,720,0
prison,probation,85%,non-white,732,0
prison,probation,85%,non-white,744,0
prison,probation,85%,non-white,756,0
prison,probation,85%,non-white,768,0
prison,probation,85%,non-white,780,0.001414427
prison,probation,85%,non-white,792,0.001414427
prison,probation,85%,non-white,804,0.001414427
prison,probation,85%,non-white,816,0.001414427
prison,probation,85%,non-white,828,0
prison,probation,85%,non-white,840,0
prison,probation,85%,non-white,852,0
prison,probation,85%,non-white,864,0
prison,probation,85%,non-white,876,0
prison,probation,85%,non-white,888,0
prison,probation,85%,non-white,900,0
prison,probation,85%,non-white,912,0
prison,probation,85%,non-white,924,0.001414427
prison,probation,85%,non-white,936,0
prison,probation,85%,non-white,948,0
prison,probation,85%,non-white,960,0
prison,probation,75%,white,0,0
prison,probation,75%,white,12,0.011904762
prison,probation,75%,white,24,0.023809524
prison,probation,75%,white,36,0.083333333
prison,probation,75%,white,48,0.113095238
prison,probation,75%,white,60,0.113095238
prison,probation,75%,white,72,0.113095238
prison,probation,75%,white,84,0.125
prison,probation,75%,white,96,0.083333333
prison,probation,75%,white,108,0.077380952
prison,probation,75%,white,120,0.05952381
prison,probation,75%,white,132,0.071428571
prison,probation,75%,white,144,0.029761905
prison,probation,75%,white,156,0.035714286
prison,probation,75%,white,168,0.029761905
prison,probation,75%,white,180,0
prison,probation,75%,white,192,0
prison,probation,75%,white,204,0.011904762
prison,probation,75%,white,216,0
prison,probation,75%,white,228,0.005952381
prison,probation,75%,white,240,0
prison,probation,75%,white,252,0
prison,probation,75%,white,264,0.005952381
prison,probation,75%,white,276,0
prison,probation,75%,white,288,0
prison,probation,75%,white,300,0
prison,probation,75%,white,312,0
prison,probation,75%,white,324,0
prison,probation,75%,white,336,0
prison,probation,75%,white,348,0.005952381
prison,probation,75%,white,360,0
prison,probation,75%,non-white,0,0
prison,probation,75%,non-white,12,0.010714286
prison,probation,75%,non-white,24,0.032142857
prison,probation,75%,non-white,36,0.071428571
prison,probation,75%,non-white,48,0.046428571
prison,probation,75%,non-white,60,0.089285714
prison,probation,75%,non-white,72,0.132142857
prison,probation,75%,non-white,84,0.175
prison,probation,75%,non-white,96,0.121428571
prison,probation,75%,non-white,108,0.075
prison,probation,75%,non-white,120,0.057142857
prison,probation,75%,non-white,132,0.039285714
prison,probation,75%,non-white,144,0.010714286
prison,probation,75%,non-white,156,0.025
prison,probation,75%,non-white,168,0.010714286
prison,probation,75%,non-white,180,0.025
prison,probation,75%,non-white,192,0.010714286
prison,probation,75%,non-white,204,0.014285714
prison,probation,75%,non-white,216,0.017857143
prison,probation,75%,non-white,228,0.010714286
prison,probation,75%,non-white,240,0.003571429
prison,probation,75%,non-white,252,0
prison,probation,75%,non-white,264,0.007142857
prison,probation,75%,non-white,276,0
prison,probation,75%,non-white,288,0
prison,probation,75%,non-white,300,0.007142857
prison,probation,75%,non-white,312,0.007142857
prison,probation,75%,non-white,324,0
prison,probation,75%,non-white,336,0
prison,probation,75%,non-white,348,0
prison,probation,75%,non-white,360,0