,compartment,outflow_to,tis_percentage,race,compartment_duration,total_population,time_step
0,prison,probation,100%,white,0.0,0.0,
1,prison,probation,100%,white,12.0,0.0,
2,prison,probation,100%,white,24.0,0.0,
3,prison,probation,100%,white,36.0,0.0032786890000000004,
4,prison,probation,100%,white,48.0,0.0,
5,prison,probation,100%,white,60.0,0.0,
6,prison,probation,100%,white,72.0,0.0,
7,prison,probation,100%,white,84.0,0.0,
8,prison,probation,100%,white,96.0,0.0,
9,prison,probation,100%,white,108.0,0.0,
10,prison,probation,100%,white,120.0,0.0032786890000000004,
11,prison,probation,100%,white,132.0,0.0032786890000000004,
12,prison,probation,100%,white,144.0,0.0,
13,prison,probation,100%,white,156.0,0.0032786890000000004,
14,prison,probation,100%,white,168.0,0.0,
15,prison,probation,100%,white,180.0,0.006557377,
16,prison,probation,100%,white,192.0,0.009836066,
17,prison,probation,100%,white,204.0,0.019672131000000002,
18,prison,probation,100%,white,216.0,0.019672131000000002,
19,prison,probation,100%,white,228.0,0.032786885,
20,prison,probation,100%,white,240.0,0.016393443,
21,prison,probation,100%,white,252.0,0.02295082,
22,prison,probation,100%,white,264.0,0.009836066,
23,prison,probation,100%,white,276.0,0.029508197000000003,
24,prison,probation,100%,white,288.0,0.026229508,
25,prison,probation,100%,white,300.0,0.032786885,
26,prison,probation,100%,white,312.0,0.026229508,
27,prison,probation,100%,white,324.0,0.052459016,
28,prison,probation,100%,white,336.0,0.016393443,
29,prison,probation,100%,white,348.0,0.036065573999999996,
30,prison,probation,100%,white,360.0,0.026229508,
31,prison,probation,100%,white,372.0,0.019672131000000002,
32,prison,probation,100%,white,384.0,0.013114754,
33,prison,probation,100%,white,396.0,0.019672131000000002,
34,prison,probation,100%,white,408.0,0.019672131000000002,
35,prison,probation,100%,white,420.0,0.02295082,
36,prison,probation,100%,white,432.0,0.029508197000000003,
37,prison,probation,100%,white,444.0,0.026229508,
38,prison,probation,100%,white,456.0,0.013114754,
39,prison,probation,100%,white,468.0,0.019672131000000002,
40,prison,probation,100%,white,480.0,0.016393443,
41,prison,probation,100%,white,492.0,0.006557377,
42,prison,probation,100%,white,504.0,0.02295082,
43,prison,probation,100%,white,516.0,0.013114754,
44,prison,probation,100%,white,528.0,0.036065573999999996,
45,prison,probation,100%,white,540.0,0.013114754,
46,prison,probation,100%,white,552.0,0.013114754,
47,prison,probation,100%,white,564.0,0.029508197000000003,
48,prison,probation,100%,white,576.0,0.026229508,
49,prison,probation,100%,white,588.0,0.016393443,
50,prison,probation,100%,white,600.0,0.013114754,
51,prison,probation,100%,white,612.0,0.009836066,
52,prison,probation,100%,white,624.0,0.019672131000000002,
53,prison,probation,100%,white,636.0,0.006557377,
54,prison,probation,100%,white,648.0,0.016393443,
55,prison,probation,100%,white,660.0,0.009836066,
56,prison,probation,100%,white,672.0,0.016393443,
57,prison,probation,100%,white,684.0,0.006557377,
58,prison,probation,100%,white,696.0,0.016393443,
59,prison,probation,100%,white,708.0,0.013114754,
60,prison,probation,100%,white,720.0,0.0032786890000000004,
61,prison,probation,100%,white,732.0,0.009836066,
62,prison,probation,100%,white,744.0,0.0032786890000000004,
63,prison,probation,100%,white,756.0,0.006557377,
64,prison,probation,100%,white,768.0,0.006557377,
65,prison,probation,100%,white,780.0,0.0032786890000000004,
66,prison,probation,100%,white,792.0,0.0032786890000000004,
67,prison,probation,100%,white,804.0,0.0032786890000000004,
68,prison,probation,100%,white,816.0,0.013114754,
69,prison,probation,100%,white,828.0,0.006557377,
70,prison,probation,100%,white,840.0,0.0032786890000000004,
71,prison,probation,100%,white,852.0,0.006557377,
72,prison,probation,100%,white,864.0,0.0032786890000000004,
73,prison,probation,100%,white,876.0,0.0,
74,prison,probation,100%,white,888.0,0.006557377,
75,prison,probation,100%,white,900.0,0.0,
76,prison,probation,100%,white,912.0,0.0,
77,prison,probation,100%,white,924.0,0.0032786890000000004,
78,prison,probation,100%,white,936.0,0.009836066,
79,prison,probation,100%,white,948.0,0.0032786890000000004,
80,prison,probation,100%,white,960.0,0.0032786890000000004,
81,prison,probation,100%,non-white,0.0,0.0,
82,prison,probation,100%,non-white,12.0,0.000735835,
83,prison,probation,100%,non-white,24.0,0.0,
84,prison,probation,100%,non-white,36.0,0.00147167,
85,prison,probation,100%,non-white,48.0,0.000735835,
86,prison,probation,100%,non-white,60.0,0.000735835,
87,prison,probation,100%,non-white,72.0,0.000735835,
88,prison,probation,100%,non-white,84.0,0.0,
89,prison,probation,100%,non-white,96.0,0.002943341,
90,prison,probation,100%,non-white,108.0,0.0,
91,prison,probation,100%,non-white,120.0,0.002207506,
92,prison,probation,100%,non-white,132.0,0.002207506,
93,prison,probation,100%,non-white,144.0,0.004415011,
94,prison,probation,100%,non-white,156.0,0.004415011,
95,prison,probation,100%,non-white,168.0,0.006622517,
96,prison,probation,100%,non-white,180.0,0.014716703000000001,
97,prison,probation,100%,non-white,192.0,0.015452539,
98,prison,probation,100%,non-white,204.0,0.019131713999999998,
99,prison,probation,100%,non-white,216.0,0.030905077000000003,
100,prison,probation,100%,non-white,228.0,0.023546726,
101,prison,probation,100%,non-white,240.0,0.020603385,
102,prison,probation,100%,non-white,252.0,0.023546726,
103,prison,probation,100%,non-white,264.0,0.02281089,
104,prison,probation,100%,non-white,276.0,0.030169242000000002,
105,prison,probation,100%,non-white,288.0,0.024282561,
106,prison,probation,100%,non-white,300.0,0.020603385,
107,prison,probation,100%,non-white,312.0,0.027225901,
108,prison,probation,100%,non-white,324.0,0.025018396000000002,
109,prison,probation,100%,non-white,336.0,0.027225901,
110,prison,probation,100%,non-white,348.0,0.016924209,
111,prison,probation,100%,non-white,360.0,0.018395879,
112,prison,probation,100%,non-white,372.0,0.015452539,
113,prison,probation,100%,non-white,384.0,0.014716703000000001,
114,prison,probation,100%,non-white,396.0,0.02281089,
115,prison,probation,100%,non-white,408.0,0.015452539,
116,prison,probation,100%,non-white,420.0,0.016188374,
117,prison,probation,100%,non-white,432.0,0.014716703000000001,
118,prison,probation,100%,non-white,444.0,0.022075055,
119,prison,probation,100%,non-white,456.0,0.019131713999999998,
120,prison,probation,100%,non-white,468.0,0.014716703000000001,
121,prison,probation,100%,non-white,480.0,0.015452539,
122,prison,probation,100%,non-white,492.0,0.013980868,
123,prison,probation,100%,non-white,504.0,0.016188374,
124,prison,probation,100%,non-white,516.0,0.022075055,
125,prison,probation,100%,non-white,528.0,0.024282561,
126,prison,probation,100%,non-white,540.0,0.013980868,
127,prison,probation,100%,non-white,552.0,0.016188374,
128,prison,probation,100%,non-white,564.0,0.019131713999999998,
129,prison,probation,100%,non-white,576.0,0.01986755,
130,prison,probation,100%,non-white,588.0,0.011773363,
131,prison,probation,100%,non-white,600.0,0.013245033,
132,prison,probation,100%,non-white,612.0,0.014716703000000001,
133,prison,probation,100%,non-white,624.0,0.016924209,
134,prison,probation,100%,non-white,636.0,0.020603385,
135,prison,probation,100%,non-white,648.0,0.014716703000000001,
136,prison,probation,100%,non-white,660.0,0.012509198000000001,
137,prison,probation,100%,non-white,672.0,0.017660044,
138,prison,probation,100%,non-white,684.0,0.018395879,
139,prison,probation,100%,non-white,696.0,0.022075055,
140,prison,probation,100%,non-white,708.0,0.011037528000000001,
141,prison,probation,100%,non-white,720.0,0.007358351999999999,
142,prison,probation,100%,non-white,732.0,0.009565856999999999,
143,prison,probation,100%,non-white,744.0,0.007358351999999999,
144,prison,probation,100%,non-white,756.0,0.006622517,
145,prison,probation,100%,non-white,768.0,0.009565856999999999,
146,prison,probation,100%,non-white,780.0,0.006622517,
147,prison,probation,100%,non-white,792.0,0.0058866809999999995,
148,prison,probation,100%,non-white,804.0,0.007358351999999999,
149,prison,probation,100%,non-white,816.0,0.0036791759999999997,
150,prison,probation,100%,non-white,828.0,0.008094187,
151,prison,probation,100%,non-white,840.0,0.002943341,
152,prison,probation,100%,non-white,852.0,0.008094187,
153,prison,probation,100%,non-white,864.0,0.002943341,
154,prison,probation,100%,non-white,876.0,0.0058866809999999995,
155,prison,probation,100%,non-white,888.0,0.0058866809999999995,
156,prison,probation,100%,non-white,900.0,0.0058866809999999995,
157,prison,probation,100%,non-white,912.0,0.005150846,
158,prison,probation,100%,non-white,924.0,0.005150846,
159,prison,probation,100%,non-white,936.0,0.004415011,
160,prison,probation,100%,non-white,948.0,0.002207506,
161,prison,probation,100%,non-white,960.0,0.00147167,
162,prison,probation,85%,white,0.0,0.0,
163,prison,probation,85%,white,12.0,0.020231213999999997,
164,prison,probation,85%,white,24.0,0.12138728300000001,
165,prison,probation,85%,white,36.0,0.101156069,
166,prison,probation,85%,white,48.0,0.10404624300000001,
167,prison,probation,85%,white,60.0,0.08959537599999999,
168,prison,probation,85%,white,72.0,0.057803468,
169,prison,probation,85%,white,84.0,0.075144509,
170,prison,probation,85%,white,96.0,0.052023121,
171,prison,probation,85%,white,108.0,0.043352601,
172,prison,probation,85%,white,120.0,0.028901734,
173,prison,probation,85%,white,132.0,0.028901734,
174,prison,probation,85%,white,144.0,0.026011561000000002,
175,prison,probation,85%,white,156.0,0.01734104,
176,prison,probation,85%,white,168.0,0.028901734,
177,prison,probation,85%,white,180.0,0.026011561000000002,
178,prison,probation,85%,white,192.0,0.014450867,
179,prison,probation,85%,white,204.0,0.014450867,
180,prison,probation,85%,white,216.0,0.002890173,
181,prison,probation,85%,white,228.0,0.005780347,
182,prison,probation,85%,white,240.0,0.020231213999999997,
183,prison,probation,85%,white,252.0,0.01734104,
184,prison,probation,85%,white,264.0,0.011560694,
185,prison,probation,85%,white,276.0,0.002890173,
186,prison,probation,85%,white,288.0,0.00867052,
187,prison,probation,85%,white,300.0,0.011560694,
188,prison,probation,85%,white,312.0,0.0,
189,prison,probation,85%,white,324.0,0.00867052,
190,prison,probation,85%,white,336.0,0.0,
191,prison,probation,85%,white,348.0,0.005780347,
192,prison,probation,85%,white,360.0,0.0,
193,prison,probation,85%,white,372.0,0.002890173,
194,prison,probation,85%,white,384.0,0.0,
195,prison,probation,85%,white,396.0,0.002890173,
196,prison,probation,85%,white,408.0,0.0,
197,prison,probation,85%,white,420.0,0.0,
198,prison,probation,85%,white,432.0,0.005780347,
199,prison,probation,85%,white,444.0,0.0,
200,prison,probation,85%,white,456.0,0.002890173,
201,prison,probation,85%,white,468.0,0.002890173,
202,prison,probation,85%,white,480.0,0.0,
203,prison,probation,85%,white,492.0,0.002890173,
204,prison,probation,85%,white,504.0,0.002890173,
205,prison,probation,85%,white,516.0,0.0,
206,prison,probation,85%,white,528.0,0.0,
207,prison,probation,85%,white,540.0,0.0,
208,prison,probation,85%,white,552.0,0.0,
209,prison,probation,85%,white,564.0,0.002890173,
210,prison,probation,85%,white,576.0,0.0,
211,prison,probation,85%,white,588.0,0.002890173,
212,prison,probation,85%,white,600.0,0.002890173,
213,prison,probation,85%,white,612.0,0.0,
214,prison,probation,85%,white,624.0,0.0,
215,prison,probation,85%,white,636.0,0.0,
216,prison,probation,85%,white,648.0,0.0,
217,prison,probation,85%,white,660.0,0.0,
218,prison,probation,85%,white,672.0,0.0,
219,prison,probation,85%,white,684.0,0.002890173,
220,prison,probation,85%,white,696.0,0.0,
221,prison,probation,85%,white,708.0,0.0,
222,prison,probation,85%,white,720.0,0.0,
223,prison,probation,85%,white,732.0,0.002890173,
224,prison,probation,85%,white,744.0,0.0,
225,prison,probation,85%,white,756.0,0.0,
226,prison,probation,85%,white,768.0,0.002890173,
227,prison,probation,85%,white,780.0,0.0,
228,prison,probation,85%,white,792.0,0.002890173,
229,prison,probation,85%,white,804.0,0.002890173,
230,prison,probation,85%,white,816.0,0.002890173,
231,prison,probation,85%,white,828.0,0.002890173,
232,prison,probation,85%,white,840.0,0.0,
233,prison,probation,85%,white,852.0,0.0,
234,prison,probation,85%,white,864.0,0.002890173,
235,prison,probation,85%,white,876.0,0.0,
236,prison,probation,85%,white,888.0,0.0,
237,prison,probation,85%,white,900.0,0.0,
238,prison,probation,85%,white,912.0,0.0,
239,prison,probation,85%,white,924.0,0.0,
240,prison,probation,85%,white,936.0,0.0,
241,prison,probation,85%,white,948.0,0.0,
242,prison,probation,85%,white,960.0,0.0,
243,prison,probation,85%,non-white,0.0,0.0,
244,prison,probation,85%,non-white,12.0,0.021216407000000003,
245,prison,probation,85%,non-white,24.0,0.079207921,
246,prison,probation,85%,non-white,36.0,0.11456860000000002,
247,prison,probation,85%,non-white,48.0,0.12446959,
248,prison,probation,85%,non-white,60.0,0.11315417300000001,
249,prison,probation,85%,non-white,72.0,0.080622348,
250,prison,probation,85%,non-white,84.0,0.091937765,
251,prison,probation,85%,non-white,96.0,0.04950495,
252,prison,probation,85%,non-white,108.0,0.050919378,
253,prison,probation,85%,non-white,120.0,0.032531825,
254,prison,probation,85%,non-white,132.0,0.032531825,
255,prison,probation,85%,non-white,144.0,0.024045262,
256,prison,probation,85%,non-white,156.0,0.01980198,
257,prison,probation,85%,non-white,168.0,0.018387553,
258,prison,probation,85%,non-white,180.0,0.021216407000000003,
259,prison,probation,85%,non-white,192.0,0.018387553,
260,prison,probation,85%,non-white,204.0,0.004243281,
261,prison,probation,85%,non-white,216.0,0.007072136,
262,prison,probation,85%,non-white,228.0,0.016973126,
263,prison,probation,85%,non-white,240.0,0.008486563,
264,prison,probation,85%,non-white,252.0,0.005657709,
265,prison,probation,85%,non-white,264.0,0.00990099,
266,prison,probation,85%,non-white,276.0,0.004243281,
267,prison,probation,85%,non-white,288.0,0.0014144270000000002,
268,prison,probation,85%,non-white,300.0,0.004243281,
269,prison,probation,85%,non-white,312.0,0.0014144270000000002,
270,prison,probation,85%,non-white,324.0,0.0028288540000000004,
271,prison,probation,85%,non-white,336.0,0.0028288540000000004,
272,prison,probation,85%,non-white,348.0,0.0028288540000000004,
273,prison,probation,85%,non-white,360.0,0.0028288540000000004,
274,prison,probation,85%,non-white,372.0,0.0014144270000000002,
275,prison,probation,85%,non-white,384.0,0.0014144270000000002,
276,prison,probation,85%,non-white,396.0,0.0014144270000000002,
277,prison,probation,85%,non-white,408.0,0.0014144270000000002,
278,prison,probation,85%,non-white,420.0,0.0,
279,prison,probation,85%,non-white,432.0,0.0,
280,prison,probation,85%,non-white,444.0,0.0014144270000000002,
281,prison,probation,85%,non-white,456.0,0.0014144270000000002,
282,prison,probation,85%,non-white,468.0,0.0014144270000000002,
283,prison,probation,85%,non-white,480.0,0.004243281,
284,prison,probation,85%,non-white,492.0,0.0014144270000000002,
285,prison,probation,85%,non-white,504.0,0.0,
286,prison,probation,85%,non-white,516.0,0.0014144270000000002,
287,prison,probation,85%,non-white,528.0,0.0,
288,prison,probation,85%,non-white,540.0,0.0,
289,prison,probation,85%,non-white,552.0,0.0,
290,prison,probation,85%,non-white,564.0,0.0,
291,prison,probation,85%,non-white,576.0,0.0,
292,prison,probation,85%,non-white,588.0,0.0014144270000000002,
293,prison,probation,85%,non-white,600.0,0.0,
294,prison,probation,85%,non-white,612.0,0.0,
295,prison,probation,85%,non-white,624.0,0.0028288540000000004,
296,prison,probation,85%,non-white,636.0,0.0,
297,prison,probation,85%,non-white,648.0,0.0,
298,prison,probation,85%,non-white,660.0,0.0,
299,prison,probation,85%,non-white,672.0,0.0014144270000000002,
300,prison,probation,85%,non-white,684.0,0.0,
301,prison,probation,85%,non-white,696.0,0.0014144270000000002,
302,prison,probation,85%,non-white,708.0,0.0014144270000000002,
303,prison,probation,85%,non-white,720.0,0.0,
304,prison,probation,85%,non-white,732.0,0.0,
305,prison,probation,85%,non-white,744.0,0.0,
306,prison,probation,85%,non-white,756.0,0.0,
307,prison,probation,85%,non-white,768.0,0.0,
308,prison,probation,85%,non-white,780.0,0.0014144270000000002,
309,prison,probation,85%,non-white,792.0,0.0014144270000000002,
310,prison,probation,85%,non-white,804.0,0.0014144270000000002,
311,prison,probation,85%,non-white,816.0,0.0014144270000000002,
312,prison,probation,85%,non-white,828.0,0.0,
313,prison,probation,85%,non-white,840.0,0.0,
314,prison,probation,85%,non-white,852.0,0.0,
315,prison,probation,85%,non-white,864.0,0.0,
316,prison,probation,85%,non-white,876.0,0.0,
317,prison,probation,85%,non-white,888.0,0.0,
318,prison,probation,85%,non-white,900.0,0.0,
319,prison,probation,85%,non-white,912.0,0.0,
320,prison,probation,85%,non-white,924.0,0.0014144270000000002,
321,prison,probation,85%,non-white,936.0,0.0,
322,prison,probation,85%,non-white,948.0,0.0,
323,prison,probation,85%,non-white,960.0,0.0,
324,prison,probation,75%,white,0.0,0.0,
325,prison,probation,75%,white,12.0,0.011904762,
326,prison,probation,75%,white,24.0,0.023809524,
327,prison,probation,75%,white,36.0,0.083333333,
328,prison,probation,75%,white,48.0,0.113095238,
329,prison,probation,75%,white,60.0,0.113095238,
330,prison,probation,75%,white,72.0,0.113095238,
331,prison,probation,75%,white,84.0,0.125,
332,prison,probation,75%,white,96.0,0.083333333,
333,prison,probation,75%,white,108.0,0.077380952,
334,prison,probation,75%,white,120.0,0.05952381,
335,prison,probation,75%,white,132.0,0.071428571,
336,prison,probation,75%,white,144.0,0.029761905,
337,prison,probation,75%,white,156.0,0.035714286,
338,prison,probation,75%,white,168.0,0.029761905,
339,prison,probation,75%,white,180.0,0.0,
340,prison,probation,75%,white,192.0,0.0,
341,prison,probation,75%,white,204.0,0.011904762,
342,prison,probation,75%,white,216.0,0.0,
343,prison,probation,75%,white,228.0,0.005952381,
344,prison,probation,75%,white,240.0,0.0,
345,prison,probation,75%,white,252.0,0.0,
346,prison,probation,75%,white,264.0,0.005952381,
347,prison,probation,75%,white,276.0,0.0,
348,prison,probation,75%,white,288.0,0.0,
349,prison,probation,75%,white,300.0,0.0,
350,prison,probation,75%,white,312.0,0.0,
351,prison,probation,75%,white,324.0,0.0,
352,prison,probation,75%,white,336.0,0.0,
353,prison,probation,75%,white,348.0,0.005952381,
354,prison,probation,75%,white,360.0,0.0,
355,prison,probation,75%,non-white,0.0,0.0,
356,prison,probation,75%,non-white,12.0,0.010714286000000002,
357,prison,probation,75%,non-white,24.0,0.032142857000000004,
358,prison,probation,75%,non-white,36.0,0.071428571,
359,prison,probation,75%,non-white,48.0,0.046428570999999995,
360,prison,probation,75%,non-white,60.0,0.089285714,
361,prison,probation,75%,non-white,72.0,0.132142857,
362,prison,probation,75%,non-white,84.0,0.175,
363,prison,probation,75%,non-white,96.0,0.121428571,
364,prison,probation,75%,non-white,108.0,0.075,
365,prison,probation,75%,non-white,120.0,0.057142857000000005,
366,prison,probation,75%,non-white,132.0,0.039285714,
367,prison,probation,75%,non-white,144.0,0.010714286000000002,
368,prison,probation,75%,non-white,156.0,0.025,
369,prison,probation,75%,non-white,168.0,0.010714286000000002,
