crime,mandatory_minimum,is_violent,sentence_type,weight,std
CRIM SALE CONTR SUBSTANCE 3RD|B,1.0,0,determinate-drug,8557,26.25991314806345
CRIM POSS CONTR SUBSTANCE 3RD|B,1.0,0,determinate-drug,6443,22.97349740097785
ATT CRIM SALE CONTR SUBSTANCE 3RD|C,1.0,0,determinate-drug,2717,22.474590221318568
CRIM POSS CONTR SUBSTANCE 5TH|D,1.0,0,determinate-drug,2687,16.838203294835747
CRIM SALE CONTR SUBSTANCE 5TH|D,1.0,0,determinate-drug,2391,16.72092175729927
ATT CRIM POSS CONTR SUBSTANCE 3RD|C,1.0,0,determinate-drug,2027,19.691278961461098
CRIM POSS CONTR SUBSTANCE 4TH|C,1.0,0,determinate-drug,1497,19.343753855469444
CRIM POSS CONTR SUBSTANCE 2ND|A2,3.0,0,determinate-drug,1030,23.32901474930614
CRIM SALE CONTR SUBSTANCE 4TH|C,1.0,0,determinate-drug,1032,22.763424611334045
CRIM SALE CONTR SUBSTANCE 2ND|A2,3.0,0,determinate-drug,781,25.967829424101964
ATT CRIM POSS CONTR SUBSTANCE 5TH|E,1.0,0,determinate-drug,677,10.558728400976763
CRIM SALE CONTR SUBS - SCHOOL|B,2.0,0,determinate-drug,528,25.87679607450707
ATT CRIM POSS CONTR SUBSTANCE 4TH|D,1.0,0,determinate-drug,420,12.078271194447126
UNLAW MANUFACTURE METH 3RD|D,1.0,0,determinate-drug,347,9.183741684267403
ATT CRIM SALE CONTR SUBSTANCE 5TH|E,1.0,0,determinate-drug,350,11.10607183689438
CRIM POSS CONTR SUBSTANCE 1ST|A1,8.0,0,determinate-drug,161,34.23753643515201
CRIM POSS MARIHUANA 2ND|D,1.0,0,determinate-drug,164,12.473326003198222
CRIM POSS MARIHUANA 3RD|E,1.0,0,determinate-drug,117,8.513111767844846
CRIM SALE CONTR SUBSTANCE 1ST|A1,8.0,0,determinate-drug,98,34.00076357577107
CRIM POSS MARIHUANA 1ST|C,1.0,0,determinate-drug,84,16.445827778581148
ATT CRIM SALE CONTR SUBSTANCE 4TH|D,1.0,0,determinate-drug,81,9.965109397666264
CRIM SALE MARIHUANA 3RD|E,1.0,0,determinate-drug,61,7.2766223129435526
ASSAULT 2ND|D,2.0,1,determinate-violent,3892,21.410056402074456
ATT CRIM POSS WEAP 2ND|D,2.0,1,determinate-violent,3626,13.652175720626355
CRIM POSS WEAP 2ND|C,3.5,1,determinate-violent,3448,28.564263444893225
ROBBERY 1ST|B,5.0,1,determinate-violent,2844,43.7897790280312
ATT ROBBERY 2ND|D,2.0,1,determinate-violent,2758,17.02988422541119
ATT BURGLARY 2ND|D,2.0,1,determinate-violent,2471,17.06947088216944
BURGLARY 2ND|C,3.5,1,determinate-violent,2238,30.856185828723998
ROBBERY 2ND|C,3.5,1,determinate-violent,2104,31.807927139998156
ATT ROBBERY 1ST|C,3.5,1,determinate-violent,1607,31.000372592183158
ASSAULT 1ST|B,5.0,1,determinate-violent,1183,42.372709235490305
MANSLAUGHTER 1ST|B,5.0,1,determinate-violent,1087,45.595408359739025
SEXUAL ABUSE 1ST|D,2.0,1,determinate-violent,1127,29.369636267526868
ATT ASSAULT 1ST|C,3.5,1,determinate-violent,1010,26.035490435754856
BURGLARY 2ND SUB 2|C,3.5,1,determinate-violent,944,31.278054842734775
ATT MURDER 2ND|B,5.0,1,determinate-violent,802,47.31949251142277
ATT BURGLARY 2ND SUB 2|D,2.0,1,determinate-violent,742,18.405214581275704
BURGLARY 1ST|B,5.0,1,determinate-violent,686,41.63099668194911
RAPE 1ST|B,5.0,1,determinate-violent,591,45.83036516103813
RAPE 3RD|E,1.5,1,determinate-violent,579,22.968546098000218
RAPE 2ND|D,2.0,1,determinate-violent,531,33.273618760955564
CRIM POSS WEAP 3RD SUB 4-8 VFO|D,2.0,1,determinate-violent,499,27.98862663120562
ATT ROBBERY 2ND SUB 1|D,2.0,1,determinate-violent,378,17.90129982351422
SEX OFF REG VIOL-1ST OFFENSE|E,1.5,1,determinate-violent,368,10.605992727001812
ATT ROBBERY 2ND SUB 2 3|D,2.0,1,determinate-violent,374,18.873365063055203
ROBBERY 2ND SUB 1|C,3.5,1,determinate-violent,365,33.68137401742256
ATT RAPE 1ST|C,3.5,1,determinate-violent,363,36.561909612886986
ROBBERY 2ND SUB 2 3|C,3.5,1,determinate-violent,338,34.674433419954774
COURSE SEX CONDUCT-CHILD 1ST|B,5.0,1,determinate-violent,279,38.63032743527286
CRIM SEXUAL ACT 1ST|B,5.0,1,determinate-violent,273,34.37150242339785
ATT CRIM POSS WEAP 3RD SUB 4-8 VFO|E,1.5,1,determinate-violent,245,22.799942342826785
ATT BURGLARY 1ST|C,3.5,1,determinate-violent,238,28.298310474497747
COURSE SEX CONDUCT-CHILD 2ND|D,2.0,1,determinate-violent,233,27.64550132896031
SODOMY 1ST|B,5.0,1,determinate-violent,212,45.80633952359875
ATT SEXUAL ABUSE 1ST|E,1.5,1,determinate-violent,229,20.262539224304106
SEX OFF REG VIOL-2ND OFFENSE|D,2.0,1,determinate-violent,192,15.084315866684014
CRIM SEXUAL ACT 2ND|D,2.0,1,determinate-violent,199,29.034416542275295
ATT CRIM SEXUAL ACT 1ST|C,3.5,1,determinate-violent,144,27.790923832742237
CRIM SALE FIREARM 3RD|D,2.0,1,determinate-violent,137,16.775894533483072
ATT ARSON 2ND|C,3.5,1,determinate-violent,128,22.418477312252943
ARSON 2ND|B,5.0,1,determinate-violent,124,38.77554629183301
GANG ASSAULT 1ST|B,5.0,1,determinate-violent,127,36.900964662460574
CRIM SEXUAL ACT 3RD|E,1.5,1,determinate-violent,130,20.491489327169376
KIDNAPPING 2ND|B,5.0,1,determinate-violent,110,44.91923219646897
PROM SEXUAL PERF BY A CHILD|D,2.0,1,determinate-violent,117,30.5365912446444
GANG ASSAULT 2ND|C,3.5,1,determinate-violent,109,30.679551974113977
ATT RAPE 2ND|E,1.5,1,determinate-violent,102,15.269771405314433
STRANGULATION 2ND|D,2.0,1,determinate-violent,91,14.695600300643475
ATT GANG ASSAULT 1ST|C,3.5,1,determinate-violent,84,25.971588236650827
ATT COURSE SEX CONDUCT-CHILD 1ST|C,3.5,1,determinate-violent,81,31.927212971764735
ATT SODOMY 1ST|C,3.5,1,determinate-violent,70,42.27806198455728
BURGLARY 2ND SUB 1|C,3.5,1,determinate-violent,70,37.77109332752313
ATT GANG ASSAULT 2ND|D,2.0,1,determinate-violent,56,14.395609006689137
ATT BURGLARY 2ND SUB 1|D,2.0,1,determinate-violent,54,19.557450192310124
ATT KIDNAPPING 2ND|C,3.5,1,determinate-violent,51,37.234863307058376
MENACING POLICE/PEACE OFFICER|D,2.0,1,determinate-violent,51,18.357289464033528
BURGLARY 3RD|D,1.0,0,indeterminate,5530,23.3816574826474
GRAND LARCENY - NOT AUTO 4TH|E,1.0,0,indeterminate,3143,15.254739529339707
ROBBERY 3RD|D,1.0,0,indeterminate,2535,25.664228165667804
DWI:ALCOHOL/DRUGS-2ND OFFENSE|E,0.0,0,indeterminate,2215,12.017463663995004
ATT ASSAULT 2ND|E,1.0,0,indeterminate,1886,14.853633866412874
ATT BURGLARY 3RD|E,1.0,0,indeterminate,1770,13.784339497548942
CRIM CONTEMPT 1ST|E,1.0,0,indeterminate,1638,13.229011808226302
CRIM POSS WEAP 3RD SUB 1 2 3|D,3.5,0,indeterminate,1402,20.027498676877027
GRAND LARCENY - NOT AUTO 3RD|D,1.0,0,indeterminate,1226,21.220728297406247
CRIM POSS STOLEN PROP 4TH|E,1.0,0,indeterminate,1236,15.938863405427078
DWI:ALCOHOL/DRUGS-3RD OFFENSE|D,0.0,0,indeterminate,1221,16.574568283707084
ATT ROBBERY 3RD|E,1.0,0,indeterminate,1039,13.740556847324056
CRIM POSS FORGED INST 2ND|D,1.0,0,indeterminate,963,19.44441239417697
GRAND LARCENY - NOT AUTO 2ND|C,1.0,0,indeterminate,667,24.715095579251177
ATT CRIM POSS WEAP 3RD SUB 1 2 3|E,1.0,0,indeterminate,668,11.460787032478489
ATT CRIM POSS FORGED INST 2ND|E,1.0,0,indeterminate,510,13.191354626544236
CONSPIRACY 2ND|B,1.0,0,indeterminate,488,39.0422251528355
AGG UNLIC OPER MV 1ST|E,1.0,0,indeterminate,461,13.125017076209856
CONSPIRACY 4TH|E,1.0,0,indeterminate,443,18.183221766337578
FORGERY 2ND|D,1.0,0,indeterminate,438,25.954462257529418
MANSLAUGHTER 2ND|C,1.0,0,indeterminate,434,41.53263976401765
CRIM MISCHIEF 3RD|E,1.0,0,indeterminate,419,15.030926976696508
AGG DWI:1 PRIOR CONV-10 YRS|E,0.0,0,indeterminate,397,9.944763426593301
RECKLESS ENDANGERMENT 1ST|D,1.0,0,indeterminate,386,20.27712271174369
CRIM POSS STOLEN PROP 3RD|D,1.0,0,indeterminate,339,22.942477047378734
IDENTITY THEFT 1ST|D,1.0,0,indeterminate,294,16.558889323479203
GRAND LARCENY - AUTO 4TH|E,1.0,0,indeterminate,285,17.80074838164249
CRIM POSS FIREARM|E,1.0,0,indeterminate,275,10.508738626090118
AGGRAVATED CRIM CONTEMPT|D,1.0,0,indeterminate,245,18.908622515724858
ATT PROM PRISON CONTRABAND 1ST|E,1.0,0,indeterminate,226,14.556630260821226
ARSON 3RD|C,1.0,0,indeterminate,218,30.203162941251232
GRAND LARCENY - AUTO 3RD|D,1.0,0,indeterminate,198,25.788310410996594
ENTERPRISE CORRUPTION|B,1.0,0,indeterminate,184,27.69693266697217
POSS A SEX PERF BY A CHILD|E,1.0,0,indeterminate,171,18.815696414105663
ATT GRAND LARCENY - NOT AUTO 3RD|E,1.0,0,indeterminate,169,13.32724885680741
IDENTITY THEFT 2ND|E,1.0,0,indeterminate,168,13.194944982450064
BAIL JUMPING 2ND|E,1.0,0,indeterminate,161,24.890072934869423
SCHEME TO DEFRAUD 1ST|E,1.0,0,indeterminate,155,17.177822109805415
AGG DWI:2 PRIOR CONV-10 YRS|D,0.0,0,indeterminate,151,13.211608882410083
AGG DWI:W/CHILD|E,0.0,0,indeterminate,153,9.718529292589434
AGGRAVATED FAMILY OFFENSE|E,1.0,0,indeterminate,144,10.481104305067463
CRIM MISCHIEF 2ND|D,1.0,0,indeterminate,141,20.531281553645805
DRIV IMP/DRUGS-2ND OFFENSE|E,1.0,0,indeterminate,139,10.779212499719415
GRAND LARCENY - NOT AUTO 1ST|B,1.0,0,indeterminate,137,26.479697822842155
PROM PRISON CONTRABAND 1ST|D,1.0,0,indeterminate,130,29.173384501080147
VEHICULAR MANSLAUGHTER 2ND|D,1.0,0,indeterminate,127,17.826414745599447
CRIM NEGLIGENT HOMICIDE|E,1.0,0,indeterminate,126,22.326066495240752
AUTO STRIPPING 2ND|E,1.0,0,indeterminate,119,10.833118428951277
ATT FORGERY 2ND|E,1.0,0,indeterminate,114,14.429088731483066
VEHICULAR ASSAULT 2ND|E,1.0,0,indeterminate,106,13.049157196547526
ATT ARSON 3RD|D,1.0,0,indeterminate,102,18.829411030208636
VEHICULAR ASSAULT 1ST|D,1.0,0,indeterminate,101,17.325153264491437
FALSIFY BUSINESS RECORDS 1ST|E,1.0,0,indeterminate,94,14.213384763959912
ATT STRANGULATION 2ND|E,1.0,0,indeterminate,93,11.149418114264392
CRIM POSS FORGED INST 1ST|C,1.0,0,indeterminate,84,21.377377545505997
TAMPER WITH PHYS EVIDENCE|E,1.0,0,indeterminate,82,17.83317323747034
VEHICULAR MANSLAUGHTER 1ST|C,1.0,0,indeterminate,77,27.127944749480026
ATT CONSPIRACY 2ND|C,1.0,0,indeterminate,71,20.665937397145143
OFFER FALSE INST FILING 1ST|E,1.0,0,indeterminate,68,30.576689170141666
UNAUTH USE OF MV 2ND|E,1.0,0,indeterminate,67,15.669142199775969
AGGRAVATED VEHICULAR ASSAULT|C,1.0,0,indeterminate,64,19.41293855035147
ARSON 4TH|E,1.0,0,indeterminate,64,13.948836904855684
ATT RECKLESS ENDANGERMENT 1ST|E,1.0,0,indeterminate,64,8.198545083919193
ATT CRIM POSS STOLEN PROP 3RD|E,1.0,0,indeterminate,63,13.225223082171137
LV SCENE OF ACCIDENT - DEATH|D,1.0,0,indeterminate,60,17.148188643860674
DRIV IMP/DRUGS - 3RD OFFENSE|D,1.0,0,indeterminate,57,15.725795005959933
ATT CRIM POSS FORGED INST 1ST|D,1.0,0,indeterminate,50,12.625535412189237
CONSPIRACY 3RD|D,1.0,0,indeterminate,50,17.161703165931858
