level_1_incarceration_location_external_id,level_2_incarceration_location_external_id,level_3_incarceration_location_external_id
"ACC","ACC",LEVEL_II_FACIITY
"ACCC","FUG-INMATE",""
"ALLCTYJAIL",CJ,""
"ARTS",CC,""
"ATC",CC,""
"AVCF",AVCF,LEVEL_III_FACILITY
"BCCF",BCCF,LEVEL_III_FACILITY
"BVCF",BVCF,LEVEL_III_FACILITY
"CCC",CCC,LEVEL_I_FACIITY
"CCCF",CCCF,LEVEL_III_FACILITY
"CCF",CCF,LEVEL_V_FACILITY
"CM YOS PH2",YOS,""
"CM YOS PH3",YOS,""
"CM/DEN/CBT",CC,""
"CMRC",CMRC,""
"COMCOR CC",CC,""
"CORECIVIC",CC,""
"CSP",CSP,LEVEL_V_FACILITY
"CTCF",CTCF,LEVEL_III_FACILITY
"DCC",DCC,LEVEL_I_FACIITY
"DRDC",DRDC,LEVEL_V_FACILITY
"DWCF",DWCF,LEVEL_V_FACILITY
"EXT PLACE",OOS,""
"FCF",FCF,LEVEL_III_FACILITY
"FMCC",FMCC,LEVEL_II_FACIITY
"FUG-INMATE","FUG-INMATE","FUG-INMATE"
"GCCC",CC,""
"GEO RS",CC,""
"HILLTOP CC",CC,""
"ICCS-C",CC,""
"INTERSTCOM",OOS,""
"IS PAROLE",OOS,""
"ISP-INMATE","ISP-I",""
"JAIL BCKLG",CJ,""
"JAILCNTRCT",CJ,""
"LCCC",CC,""
"LCF",LCF,LEVEL_IV_FACILITY
"LVCF",LVCF,LEVEL_III_FACILITY
"MESA",CC,""
"OCC",CC,""
"OOSCONTFAC",OOS,""
"PAROLE FAC","PAROLE FAC","PAROLE FAC"
"RCC",RCC,LEVEL_I_FACIITY
"REV CRTC",CJ,""
"RRK",CC,""
"SCC",SCC,LEVEL_I_FACIITY
"SCCF",SCCF,LEVEL_V_FACILITY
"SCF",SCF,LEVEL_V_FACILITY
"TCF",TCF,LEVEL_II_FACIITY
"YOS",YOS,""
"YOS CONTRT",YOS,""
"YOS CWCF",YOS,""
"YOS-ADLT-F",YOS,""
"YOS-ADLT-M",YOS,""
"YOS-DRDC",YOS,""
"YOS/TRANS",YOS,""
