facility_code,facility_name
NDSP,North Dakota State Penitentiary
JRCC,James River Correctional Center
MRCC,Missouri River Correctional Center
HRCC,Heart River Correctional Center
DWCRC,Dakota Women's Correctional and Rehabilitation Center
BTC,Bismarck Transition Center
CPP,Community Placement Program
GFC,Grand Forks County Correctional
OOS,Out of state
TRC,Tompkins Rehabilitation and Correctional Center
FTPFAR,Fargo - Female Transfer Program
FTPMND,Mandan - Female Transfer Program
MTPFAR,Fargo - Male Transfer Program
MTPMND,Mandan - Male Transfer Program
LRRP,Lake Region Residential Reentry Center
CJ,County Jail,
TRCC,Tompkins Rehabilitation and Correctional Center